jurisdiction,issuing_body,source_collection,document_title,document_type,file_format,page_count,source_url,sha256,license_name,license_url
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2023 Response DPT CP Part2,Consultation Response,PDF,24,https://www.mas.gov.sg/-/media/mas/news-and-publications/consultation-papers/2022-proposed-regulatory-measures-for-dpt-services/response-to-public-consultation-on-proposed-regulatory-measures-for-dpt-services-part-2.pdf,474e6158f66213892850999e4349bb14c6dcbd9d1aa45c61b2834075f908a90d,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2023 Response PS Regulations Amendments,Consultation Response,PDF,40,https://www.mas.gov.sg/-/media/mas/news-and-publications/consultation-papers/2023-consultation-paper-on-proposed-amendments-to-the-ps-regs/response-to-feedback-received-on-proposed-amendments-to-the-payment-services-regulations.pdf,14cb9eb911d1532233ff10ef0e0c3f3dabae48a2e501d0d5f01021f38632d847,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2023 Response Stablecoin Consultation,Consultation Response,PDF,20,https://www.mas.gov.sg/-/media/mas-media-library/publications/consultations/pd/2023/response-to-consultation-on-stablecoins-regulation_15aug2023.pdf,58f45cd2ef3de201495e0f1f0f98b7e11ec5dfe4198ef8f9eed88a6c6d931d08,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2025 CP Prudential Treatment Cryptoassets,Consultation Paper,PDF,232,https://www.mas.gov.sg/-/media/mas-media-library/publications/consultations/ppd/2025/consultation-on-the-prudential-treatment-of-cryptoassets-and-reqs-for-at1-and-t2-capital-instruments.pdf,3d9b3d4849297e912775377dc53bdecd25c3540fcc41fb64c9d825420085ad6e,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2025 Response to DTSP CP,Consultation Response,PDF,94,https://www.mas.gov.sg/-/media/response-to-feedback-received-from-dtsp-cp.pdf,20d526d712753652384fb53c8a82850207f9962d8555dd4474389bdbf06b9b48,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Guidelines,FAQs Notice TRM 2023-05,FAQ,PDF,7,https://www.mas.gov.sg/-/media/mas-media-library/regulation/faqs/trpd/faqs---notice-on-technology-risk-management/faqs--trm-notice-may-2023.pdf,ead876dbe73309195fd8c7336db8dee30974e51576da6bdf9740aa8027bde997,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Guidelines,Guidelines Licensing DTSP FSMA 2022,Guidelines,PDF,21,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-licensing-for-dtsps,cc1be49e9cf8c821dbf07e345c961c8eca873372c38f6602d06e43fc93771460,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Guidelines,Guidelines to MAS Notice 1014 2025,Guidelines,PDF,69,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/guidelines-to-mas-notice-1014.pdf,7e0886f59d1e36f5313d8c3b157c6f662b191278fe3a82dbc3bced42453477f4,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Guidelines,Guidelines to MAS Notice 626 2025,Guidelines,PDF,70,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/guidelines-to-mas-notice-626.pdf,4abaa9f2b322c6885eaef372821f215bea5d374556f6d8903a815f68174c361a,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Guidelines,Guidelines to MAS Notice 824 2025,Guidelines,PDF,67,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/guidelines-to-mas-notice-824.pdf,0c7392b3f84f586bf4fc465c580d66b021d855800e414f908238cbb45920966e,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
